name,zip,lat,lng,mapsurl
Brussel (Sint-Pieters-Woluwe),1150,50.83618,4.45163,"http://maps.google.com/maps?q=50.83618000000001,4.451630000000023"
Auderghem,1160,50.8166667,4.4333333,"http://maps.google.com/maps?q=50.8166667,4.433333299999958"
Brussel (Watermaal-Bosvoorde),1170,50.800919,4.414715,"http://maps.google.com/maps?q=50.800919,4.414715000000001"
Brussel (Ukkel),1180,50.8,4.3333333,"http://maps.google.com/maps?q=50.8,4.333333300000049"
Brussel (Vorst),1190,50.81745,4.32675,"http://maps.google.com/maps?q=50.81745,4.326749999999947"
Brussel (Sint-Lambrechts-Woluwe),1200,50.842365,4.423892,"http://maps.google.com/maps?q=50.842365,4.4238920000000235"
R.T.L. - T.V.I.,1201,50.8574037,4.4297282,"http://maps.google.com/maps?q=50.8574037,4.4297282"
Brussel (Sint-Joost-ten-Node),1210,50.8537715,4.3704657,"http://maps.google.com/maps?q=50.8537715,4.370465700000068"
Limal,1300,50.6934506,4.5732954,"http://maps.google.com/maps?q=50.6934506,4.573295400000006"
Bierges,1301,50.7113795,4.5871684,"http://maps.google.com/maps?q=50.7113795,4.587168399999996"
La Hulpe,1310,50.7309955,4.4856707,"http://maps.google.com/maps?q=50.7309955,4.485670700000014"
Glimes,1315,50.6796,4.83774,"http://maps.google.com/maps?q=50.6796,4.83773999999994"
Hamme-Mille,1320,50.77953,4.71694,"http://maps.google.com/maps?q=50.77953,4.716940000000022"
Bonlez,1325,50.70193,4.68948,"http://maps.google.com/maps?q=50.70193,4.689480000000003"
Rixensart,1330,50.7109736,4.5306325,"http://maps.google.com/maps?q=50.7109736,4.530632500000024"
Rosières,1331,50.73015,4.54441,"http://maps.google.com/maps?q=50.73014999999999,4.544409999999971"
Genval,1332,50.7211,4.49388,"http://maps.google.com/maps?q=50.7211,4.49387999999999"
Ottignies,1340,50.665465,4.5669046,"http://maps.google.com/maps?q=50.665465,4.5669046000000435"
Céroux-Mousty,1341,50.660369,4.5204882,"http://maps.google.com/maps?q=50.660369,4.520488200000045"
Limelette,1342,50.6846872,4.571335,"http://maps.google.com/maps?q=50.6846872,4.571334999999976"
Louvain-la-Neuve,1348,50.6738567,4.6151693,"http://maps.google.com/maps?q=50.67385669999999,4.615169299999934"
Enines,1350,50.69366,4.92655,"http://maps.google.com/maps?q=50.69365999999999,4.92655000000002"
Linsmeau,1357,50.73452,5.00155,"http://maps.google.com/maps?q=50.73452,5.001549999999952"
Malèves-Sainte-Marie-Wastines,1360,50.65503,4.77943,"http://maps.google.com/maps?q=50.65503,4.779430000000048"
Autre-Eglise,1367,50.66926,4.90375,"http://maps.google.com/maps?q=50.66925999999999,4.903749999999945"
Dongelberg,1370,50.70338,4.82007,"http://maps.google.com/maps?q=50.70338,4.820069999999987"
Couture-Saint-Germain,1380,50.67502,4.47252,"http://maps.google.com/maps?q=50.67502,4.472520000000031"
Archennes,1390,50.7524768,4.669868,"http://maps.google.com/maps?q=50.7524768,4.669867999999951"
Monstreux,1400,50.59803,4.28884,"http://maps.google.com/maps?q=50.59803,4.2888399999999365"
Baulers,1401,50.61341,4.35387,"http://maps.google.com/maps?q=50.61341,4.353870000000029"
Thines,1402,50.59734,4.36846,"http://maps.google.com/maps?q=50.59734,4.368460000000027"
Bornival,1404,50.60184,4.27629,"http://maps.google.com/maps?q=50.60184,4.276290000000017"
Waterloo,1410,50.71469,4.3991,"http://maps.google.com/maps?q=50.71469,4.399099999999976"
Promo-Control,1414,50.7180368,4.3829613,"http://maps.google.com/maps?q=50.7180368,4.382961300000034"
Braine-l'Alleud,1420,50.6969022,4.3538379,"http://maps.google.com/maps?q=50.6969022,4.3538379000000305"
Ophain-Bois-Seigneur-Isaac,1421,50.66642,4.34886,"http://maps.google.com/maps?q=50.66642,4.348860000000059"
Lillois-Witterzée,1428,50.64567,4.36712,"http://maps.google.com/maps?q=50.64567,4.36712"
Bierghes,1430,50.6956998,4.1195104,"http://maps.google.com/maps?q=50.6956998,4.119510399999967"
Corbais,1435,50.6462709,4.6553809,"http://maps.google.com/maps?q=50.6462709,4.655380899999955"
Wauthier-Braine,1440,50.68121,4.29806,"http://maps.google.com/maps?q=50.68121,4.298059999999964"
Chastre-Villeroux-Blanmont,1450,50.6,4.6333333,"http://maps.google.com/maps?q=50.59999999999999,4.633333300000004"
Nil-Saint-Vincent-Saint-Martin,1457,50.64214,4.67982,"http://maps.google.com/maps?q=50.64214,4.679820000000063"
Virginal-Samme,1460,50.63983,4.20587,"http://maps.google.com/maps?q=50.63983,4.205870000000004"
Haut-Ittre,1461,50.65357,4.29825,"http://maps.google.com/maps?q=50.65357,4.298250000000053"
Baisy-Thy,1470,50.5969876,4.4760976,"http://maps.google.com/maps?q=50.59698760000001,4.476097600000003"
Loupoigne,1471,50.5978099,4.4445799,"http://maps.google.com/maps?q=50.59780989999999,4.444579900000008"
Vieux-Genappe,1472,50.6082918,4.4405969,"http://maps.google.com/maps?q=50.6082918,4.440596899999946"
Glabais,1473,50.6302595,4.4532789,"http://maps.google.com/maps?q=50.6302595,4.453278899999987"
Ways,1474,50.6104429,4.4644969,"http://maps.google.com/maps?q=50.6104429,4.464496899999972"
Houtain-le-Val,1476,50.5829629,4.4113773,"http://maps.google.com/maps?q=50.5829629,4.4113773000000265"
Clabecq,1480,50.69212,4.22163,"http://maps.google.com/maps?q=50.69212,4.221630000000005"
Court-Saint-Etienne,1490,50.6422504,4.5680813,"http://maps.google.com/maps?q=50.64225039999999,4.568081300000017"
Marbais (Bt.),1495,50.54956,4.54067,"http://maps.google.com/maps?q=50.54956,4.540669999999977"
Halle,1500,50.7324848,4.2349129,"http://maps.google.com/maps?q=50.73248479999999,4.23491290000004"
Buizingen,1501,50.7392326,4.263916,"http://maps.google.com/maps?q=50.7392326,4.263915999999995"
Lembeek,1502,50.7140616,4.2200436,"http://maps.google.com/maps?q=50.7140616,4.220043600000054"
Herfelingen,1540,50.7477711,4.0998655,"http://maps.google.com/maps?q=50.74777109999999,4.099865499999964"
Sint-Pieters-Kapelle (Bt.),1541,50.7070524,3.9899741,"http://maps.google.com/maps?q=50.70705239999999,3.9899741000000404"
Bever,1547,50.718269,3.940144,"http://maps.google.com/maps?q=50.718269,3.940144000000032"
Hoeilaart,1560,50.7674863,4.4740458,"http://maps.google.com/maps?q=50.76748629999999,4.474045799999999"
Tollembeek,1570,50.7410978,4.006775,"http://maps.google.com/maps?q=50.7410978,4.0067750000000615"
Oudenaken,1600,50.78068,4.19938,"http://maps.google.com/maps?q=50.78068,4.199380000000019"
Ruisbroek (Bt.),1601,50.79035,4.29862,"http://maps.google.com/maps?q=50.79035,4.298620000000028"
Vlezenbeek,1602,50.80785,4.23213,"http://maps.google.com/maps?q=50.80784999999999,4.232129999999984"
Drogenbos,1620,50.7833333,4.3166667,"http://maps.google.com/maps?q=50.7833333,4.316666700000042"
Linkebeek,1630,50.7666667,4.3333333,"http://maps.google.com/maps?q=50.7666667,4.333333300000049"
Rhode-Saint-Genese,1640,50.74594,4.35753,"http://maps.google.com/maps?q=50.74594,4.357529999999997"
Beersel,1650,50.7686913,4.3120069,"http://maps.google.com/maps?q=50.7686913,4.3120069000000285"
Lot,1651,50.76778,4.27707,"http://maps.google.com/maps?q=50.76777999999999,4.277069999999981"
Alsemberg,1652,50.74163,4.33613,"http://maps.google.com/maps?q=50.74163,4.336130000000026"
Dworp,1653,50.72949,4.30109,"http://maps.google.com/maps?q=50.72949,4.301089999999931"
Huizingen,1654,50.74657,4.27369,"http://maps.google.com/maps?q=50.74657,4.273689999999988"
Bogaarden,1670,50.74,4.13632,"http://maps.google.com/maps?q=50.73999999999999,4.136320000000069"
Elingen,1671,50.77926,4.17119,"http://maps.google.com/maps?q=50.77926,4.171190000000024"
Beert,1673,50.74103,4.18184,"http://maps.google.com/maps?q=50.74102999999999,4.181839999999966"
Bellingen,1674,50.7408,4.15399,"http://maps.google.com/maps?q=50.7408,4.153990000000022"
Sint-Martens-Bodegem,1700,50.8614672,4.2128916,"http://maps.google.com/maps?q=50.8614672,4.2128916000000345"
Itterbeek,1701,50.8381387,4.2500689,"http://maps.google.com/maps?q=50.83813869999999,4.250068899999974"
Groot-Bijgaarden,1702,50.8719066,4.2500012,"http://maps.google.com/maps?q=50.8719066,4.2500012000000424"
Schepdaal,1703,50.8383485,4.1958272,"http://maps.google.com/maps?q=50.8383485,4.19582719999994"
Bekkerzeel,1730,50.88523,4.23803,"http://maps.google.com/maps?q=50.88523,4.238029999999981"
Relegem,1731,50.89908,4.27702,"http://maps.google.com/maps?q=50.89908,4.277019999999993"
Ternat,1740,50.8698353,4.1808317,"http://maps.google.com/maps?q=50.8698353,4.180831699999999"
Wambeek,1741,50.8532484,4.1628356,"http://maps.google.com/maps?q=50.85324840000001,4.162835599999994"
Sint-Katherina-Lombeek,1742,50.8732586,4.1559883,"http://maps.google.com/maps?q=50.8732586,4.15598829999999"
Mazenzele,1745,50.942789,4.1711583,"http://maps.google.com/maps?q=50.942789,4.171158300000002"
Gaasbeek,1750,50.79987,4.18893,"http://maps.google.com/maps?q=50.79987,4.188930000000028"
Kester,1755,50.76428,4.11935,"http://maps.google.com/maps?q=50.76428,4.11934999999994"
Onze-Lieve-Vrouw-Lombeek,1760,50.8197588,4.1101502,"http://maps.google.com/maps?q=50.8197588,4.110150200000021"
Borchtlombeek,1761,50.8475374,4.139768,"http://maps.google.com/maps?q=50.8475374,4.139768000000004"
Liedekerke,1770,50.86891,4.08729,"http://maps.google.com/maps?q=50.86891,4.087289999999939"
Wemmel,1780,50.906141,4.306408,"http://maps.google.com/maps?q=50.906141,4.306408000000033"
Brussegem,1785,50.92574,4.26608,"http://maps.google.com/maps?q=50.92574,4.266079999999988"
Essene,1790,50.9015743,4.1364265,"http://maps.google.com/maps?q=50.90157430000001,4.1364264999999705"
Peutie,1800,50.92847,4.45188,"http://maps.google.com/maps?q=50.92847,4.45187999999996"
Cargovil,1804,50.947259,4.427268,"http://maps.google.com/maps?q=50.947259,4.427268000000026"
VTM,1818,50.914158,4.397676,"http://maps.google.com/maps?q=50.914158,4.397676000000047"
Melsbroek,1820,50.91512,4.47846,"http://maps.google.com/maps?q=50.91512,4.478460000000041"
Machelen (Bt.),1830,50.9119,4.43229,"http://maps.google.com/maps?q=50.9119,4.432289999999966"
Diegem,1831,50.8976668,4.4346964,"http://maps.google.com/maps?q=50.8976668,4.434696400000007"
Malderen,1840,51.02033,4.24629,"http://maps.google.com/maps?q=51.02032999999999,4.2462900000000445"
Grimbergen,1850,50.9356235,4.3785596,"http://maps.google.com/maps?q=50.9356235,4.378559600000017"
Humbeek,1851,50.9672327,4.3795118,"http://maps.google.com/maps?q=50.9672327,4.379511800000046"
Beigem,1852,50.9528364,4.3660653,"http://maps.google.com/maps?q=50.9528364,4.366065299999946"
Strombeek-Bever,1853,50.9103739,4.35564,"http://maps.google.com/maps?q=50.9103739,4.355639999999994"
Meise,1860,50.9478621,4.3302827,"http://maps.google.com/maps?q=50.94786209999999,4.330282699999998"
Wolvertem,1861,50.95088,4.30927,"http://maps.google.com/maps?q=50.95088,4.3092699999999695"
Nieuwenrode,1880,50.97857,4.35229,"http://maps.google.com/maps?q=50.97857,4.352290000000039"
Berg (Bt.),1910,51.1316639,5.8439044,"http://maps.google.com/maps?q=51.1316639,5.843904400000042"
Nossegem,1930,50.8781921,4.5074739,"http://maps.google.com/maps?q=50.8781921,4.507473900000036"
Brucargo,1931,50.903293,4.452214,"http://maps.google.com/maps?q=50.903293,4.452214000000026"
Sint-Stevens-Woluwe,1932,50.8691972,4.4502354,"http://maps.google.com/maps?q=50.8691972,4.450235399999997"
Sterrebeek,1933,50.8632635,4.5161823,"http://maps.google.com/maps?q=50.8632635,4.516182299999969"
Brussel X-Luchthaven Remailing,1934,50.8923428,4.4878174,"http://maps.google.com/maps?q=50.89234279999999,4.48781740000004"
Kraainem,1950,50.8610856,4.4592974,"http://maps.google.com/maps?q=50.8610856,4.4592973999999685"
Wezembeek-Oppem,1970,50.83854,4.50848,"http://maps.google.com/maps?q=50.83853999999999,4.508479999999963"
Eppegem,1980,50.9621231,4.4544329,"http://maps.google.com/maps?q=50.9621231,4.454432900000029"
Hofstade (Bt.),1981,50.9916699,4.4924542,"http://maps.google.com/maps?q=50.9916699,4.492454199999997"
Elewijt,1982,50.9618503,4.4964542,"http://maps.google.com/maps?q=50.96185029999999,4.4964542000000165"
Antwerpen,2000,51.2198771,4.4011356,"http://maps.google.com/maps?q=51.2198771,4.401135599999975"
Berendrecht,2040,51.34287,4.31409,"http://maps.google.com/maps?q=51.34287,4.314089999999965"
Burcht,2070,51.20367,4.34148,"http://maps.google.com/maps?q=51.20367,4.341480000000047"
Deurne (Antwerpen),2100,51.1891603,4.4619208,"http://maps.google.com/maps?q=51.1891603,4.46192080000003"
Wijnegem,2110,51.2277778,4.5155556,"http://maps.google.com/maps?q=51.2277778,4.515555599999971"
Borgerhout (Antwerpen),2140,51.213847,4.4405633,"http://maps.google.com/maps?q=51.213847,4.440563300000008"
Borsbeek (Antw.),2150,51.194179,4.481594,"http://maps.google.com/maps?q=51.194179,4.481593999999973"
Wommelgem,2160,51.203981,4.522188,"http://maps.google.com/maps?q=51.203981,4.522188000000028"
Merksem (Antwerpen),2170,51.2512741,4.448539,"http://maps.google.com/maps?q=51.2512741,4.4485389999999825"
Ekeren (Antwerpen),2180,51.2807314,4.4184495,"http://maps.google.com/maps?q=51.2807314,4.4184494999999515"
Morkhoven,2200,51.1200863,4.8207292,"http://maps.google.com/maps?q=51.1200863,4.82072919999996"
Hallaar,2220,51.08464,4.73293,"http://maps.google.com/maps?q=51.08464,4.73293000000001"
Booischot,2221,51.05151,4.77523,"http://maps.google.com/maps?q=51.05151,4.775229999999965"
Itegem,2222,51.10321,4.72927,"http://maps.google.com/maps?q=51.10321,4.729270000000042"
Schriek,2223,51.02745,4.69272,"http://maps.google.com/maps?q=51.02744999999999,4.692720000000008"
Ramsel,2230,51.03211,4.8328,"http://maps.google.com/maps?q=51.03211,4.83280000000002"
Houtvenne,2235,51.04208,4.80894,"http://maps.google.com/maps?q=51.04208,4.808940000000007"
Massenhoven,2240,51.1986273,4.6364247,"http://maps.google.com/maps?q=51.1986273,4.6364247000000205"
Pulderbos,2242,51.2165685,4.6919,"http://maps.google.com/maps?q=51.2165685,4.691900000000032"
Pulle,2243,51.2032977,4.7137397,"http://maps.google.com/maps?q=51.2032977,4.713739700000019"
Olen,2250,51.1662602,4.8989077,"http://maps.google.com/maps?q=51.1662602,4.898907699999995"
Oevel,2260,51.13822,4.90411,"http://maps.google.com/maps?q=51.13822,4.904109999999946"
Herenthout,2270,51.1394506,4.7564892,"http://maps.google.com/maps?q=51.1394506,4.756489200000033"
Gierle,2275,51.2671512,4.8677063,"http://maps.google.com/maps?q=51.2671512,4.867706300000009"
Grobbendonk,2280,51.1832616,4.7349959,"http://maps.google.com/maps?q=51.18326159999999,4.734995900000058"
Bouwel,2288,51.1719684,4.7420582,"http://maps.google.com/maps?q=51.1719684,4.742058199999974"
Vorselaar,2290,51.2025247,4.7708827,"http://maps.google.com/maps?q=51.2025247,4.770882700000016"
Turnhout,2300,51.3216509,4.9375577,"http://maps.google.com/maps?q=51.3216509,4.93755770000007"
Rijkevorsel,2310,51.348812,4.762252,"http://maps.google.com/maps?q=51.348812,4.7622519999999895"
Hoogstraten,2320,51.403297,4.7468218,"http://maps.google.com/maps?q=51.403297,4.746821800000021"
Meer,2321,51.4456,4.7383,"http://maps.google.com/maps?q=51.4456,4.738299999999981"
Minderhout,2322,51.41654,4.76339,"http://maps.google.com/maps?q=51.41654,4.7633899999999585"
Wortel,2323,51.39751,4.79475,"http://maps.google.com/maps?q=51.39751,4.794750000000022"
Meerle,2328,51.45725,4.8232,"http://maps.google.com/maps?q=51.45724999999999,4.823200000000043"
Merksplas,2330,51.35805,4.86339,"http://maps.google.com/maps?q=51.35805,4.863389999999981"
Vlimmeren,2340,51.2971394,4.7820454,"http://maps.google.com/maps?q=51.2971394,4.782045400000015"
Vosselaar,2350,51.3080556,4.8883333,"http://maps.google.com/maps?q=51.3080556,4.888333299999999"
Oud-Turnhout,2360,51.3177601,4.982845,"http://maps.google.com/maps?q=51.3177601,4.9828449999999975"
Arendonk,2370,51.322049,5.0863348,"http://maps.google.com/maps?q=51.322049,5.0863348000000315"
Ravels,2380,51.3762015,5.0185568,"http://maps.google.com/maps?q=51.3762015,5.018556799999942"
Weelde,2381,51.406763,4.9908357,"http://maps.google.com/maps?q=51.406763,4.990835699999934"
Poppel,2382,51.4471741,5.0431801,"http://maps.google.com/maps?q=51.4471741,5.043180099999972"
Baarle-Hertog,2387,51.4069842,4.8933004,"http://maps.google.com/maps?q=51.4069842,4.893300400000044"
Oostmalle,2390,51.301137,4.7337542,"http://maps.google.com/maps?q=51.301137,4.733754200000021"
Mol,2400,51.191087,5.1170647,"http://maps.google.com/maps?q=51.191087,5.1170647000000145"
Eindhout,2430,51.10334,4.9997,"http://maps.google.com/maps?q=51.10334,4.999699999999962"
Varendonk,2431,51.08397,4.9513,"http://maps.google.com/maps?q=51.08397,4.9512999999999465"
Geel,2440,51.164768,4.989791,"http://maps.google.com/maps?q=51.164768,4.989790999999968"
Meerhout,2450,51.1313889,5.0786111,"http://maps.google.com/maps?q=51.1313889,5.078611099999989"
Lichtaart,2460,51.2246769,4.916926,"http://maps.google.com/maps?q=51.2246769,4.9169259999999895"
Retie,2470,51.2669664,5.0842508,"http://maps.google.com/maps?q=51.2669664,5.0842508000000635"
Dessel,2480,51.238107,5.116973,"http://maps.google.com/maps?q=51.238107,5.11697300000003"
Balen,2490,51.1578305,5.2100666,"http://maps.google.com/maps?q=51.1578305,5.210066600000005"
Olmen,2491,51.1338157,5.160699,"http://maps.google.com/maps?q=51.1338157,5.160699000000022"
Koningshooikt,2500,51.09522,4.61011,"http://maps.google.com/maps?q=51.09522,4.610109999999963"
Broechem,2520,51.1813334,4.6020124,"http://maps.google.com/maps?q=51.1813334,4.602012400000035"
Boechout,2530,51.1664397,4.49717,"http://maps.google.com/maps?q=51.1664397,4.497169999999983"
Vremde,2531,51.17486,4.52311,"http://maps.google.com/maps?q=51.17486,4.523109999999974"
Hove,2540,51.1539,4.47104,"http://maps.google.com/maps?q=51.1539,4.471040000000016"
Lint,2547,51.127649,4.496904,"http://maps.google.com/maps?q=51.127649,4.496903999999972"
Waarloos,2550,51.105061,4.4546959,"http://maps.google.com/maps?q=51.105061,4.454695899999933"
Bevel,2560,51.13774,4.68038,"http://maps.google.com/maps?q=51.13774,4.680380000000014"
Duffel,2570,51.095286,4.5099,"http://maps.google.com/maps?q=51.09528599999999,4.509900000000016"
Beerzel,2580,51.05786,4.66764,"http://maps.google.com/maps?q=51.05786,4.667640000000006"
Gestel,2590,51.1284,4.67316,"http://maps.google.com/maps?q=51.12840000000001,4.673160000000053"
Berchem (Antwerpen),2600,51.1955771,4.4188392,"http://maps.google.com/maps?q=51.1955771,4.418839199999979"
Wilrijk (Antwerpen),2610,51.1683102,4.3942868,"http://maps.google.com/maps?q=51.1683102,4.394286800000032"
Hemiksem,2620,51.14518,4.33834,"http://maps.google.com/maps?q=51.14518,4.3383400000000165"
Schelle,2627,51.125843,4.341279,"http://maps.google.com/maps?q=51.125843,4.341278999999986"
Aartselaar,2630,51.1338889,4.3847222,"http://maps.google.com/maps?q=51.1338889,4.384722199999942"
Mortsel,2640,51.1666667,4.45,"http://maps.google.com/maps?q=51.1666667,4.4500000000000455"
Edegem,2650,51.152982,4.4380338,"http://maps.google.com/maps?q=51.15298199999999,4.438033799999971"
Hoboken (Antwerpen),2660,51.1775732,4.34992,"http://maps.google.com/maps?q=51.1775732,4.349919999999997"
Walem,2800,51.0676813,4.4572147,"http://maps.google.com/maps?q=51.0676813,4.457214700000009"
Heffen,2801,51.0468914,4.4137291,"http://maps.google.com/maps?q=51.0468914,4.413729099999955"
Hombeek,2811,51.014356,4.4427697,"http://maps.google.com/maps?q=51.014356,4.442769699999985"
Muizen (Mechelen),2812,51.0103798,4.5157593,"http://maps.google.com/maps?q=51.0103798,4.515759300000013"
Rijmenam,2820,51.0037609,4.5902677,"http://maps.google.com/maps?q=51.0037609,4.590267700000027"
Blaasveld,2830,51.05583,4.37719,"http://maps.google.com/maps?q=51.05583000000001,4.377190000000041"
Reet,2840,51.1011334,4.4125882,"http://maps.google.com/maps?q=51.10113339999999,4.412588199999959"
Niel,2845,51.108922,4.334816,"http://maps.google.com/maps?q=51.108922,4.334816000000046"
Boom,2850,51.091541,4.368926,"http://maps.google.com/maps?q=51.091541,4.368925999999988"
Sint-Katelijne-Waver,2860,51.0614235,4.5055555,"http://maps.google.com/maps?q=51.0614235,4.505555500000014"
Onze-Lieve-Vrouw-Waver,2861,51.0639394,4.5754857,"http://maps.google.com/maps?q=51.0639394,4.575485699999945"
Breendonk,2870,51.04309,4.32204,"http://maps.google.com/maps?q=51.04309,4.322040000000015"
Hingene,2880,51.1032985,4.2687874,"http://maps.google.com/maps?q=51.1032985,4.268787400000065"
Lippelo,2890,51.04215,4.2586,"http://maps.google.com/maps?q=51.04215,4.258600000000001"
Schoten,2900,51.2497532,4.4977063,"http://maps.google.com/maps?q=51.2497532,4.497706300000004"
Essen,2910,51.4616667,4.4558333,"http://maps.google.com/maps?q=51.46166669999999,4.455833299999995"
Kalmthout,2920,51.38298,4.47518,"http://maps.google.com/maps?q=51.38298,4.475180000000023"
Brasschaat,2930,51.29227,4.49419,"http://maps.google.com/maps?q=51.29226999999999,4.494190000000003"
Hoevenen,2940,51.3061855,4.4047295,"http://maps.google.com/maps?q=51.3061855,4.40472950000003"
Kapellen (Antw.),2950,51.3361728,4.4481538,"http://maps.google.com/maps?q=51.3361728,4.4481538"
Sint-Job-in-'t-Goor,2960,51.29827,4.5732,"http://maps.google.com/maps?q=51.29827,4.573200000000043"
's Gravenwezel,2970,51.26292,4.56096,"http://maps.google.com/maps?q=51.26292000000001,4.560960000000023"
Halle (Kempen),2980,51.2398459,4.6465058,"http://maps.google.com/maps?q=51.2398459,4.6465058"
Loenhout,2990,51.3990063,4.6432288,"http://maps.google.com/maps?q=51.3990063,4.643228799999974"
Leuven,3000,50.8815197,4.6967578,"http://maps.google.com/maps?q=50.88151970000001,4.6967578"
Heverlee,3001,50.86386,4.69594,"http://maps.google.com/maps?q=50.86386,4.695940000000064"
Kessel-Lo (Leuven),3010,50.88514,4.73571,"http://maps.google.com/maps?q=50.88514,4.73571000000004"
Wilsele,3012,50.89047,4.69451,"http://maps.google.com/maps?q=50.89047,4.694510000000037"
Wijgmaal (Brabant),3018,50.92624,4.70195,"http://maps.google.com/maps?q=50.92624,4.701950000000011"
Veltem-Beisem,3020,50.9063184,4.620825,"http://maps.google.com/maps?q=50.9063184,4.620824999999968"
Loonbeek,3040,50.80972,4.61029,"http://maps.google.com/maps?q=50.80972,4.610289999999964"
Oud-Heverlee,3050,50.8282606,4.659534,"http://maps.google.com/maps?q=50.8282606,4.659534000000008"
Sint-Joris-Weert,3051,50.80281,4.6544,"http://maps.google.com/maps?q=50.80281,4.65440000000001"
Blanden,3052,50.82558,4.70916,"http://maps.google.com/maps?q=50.82558,4.709159999999997"
Haasrode,3053,50.83159,4.72988,"http://maps.google.com/maps?q=50.83159,4.72987999999998"
Vaalbeek,3054,50.82553,4.68938,"http://maps.google.com/maps?q=50.82553,4.689380000000028"
Korbeek-Dijle,3060,50.83807,4.6382,"http://maps.google.com/maps?q=50.83806999999999,4.6381999999999834"
Leefdaal,3061,50.84866,4.5939,"http://maps.google.com/maps?q=50.84866,4.593899999999962"
Kortenberg,3070,50.8852298,4.536917,"http://maps.google.com/maps?q=50.8852298,4.536917000000017"
Erps-Kwerps,3071,50.9006097,4.5607782,"http://maps.google.com/maps?q=50.9006097,4.560778199999959"
Everberg,3078,50.8788296,4.5712345,"http://maps.google.com/maps?q=50.8788296,4.571234499999946"
Duisburg,3080,50.81569,4.55184,"http://maps.google.com/maps?q=50.81569,4.55183999999997"
Overijse,3090,50.77381,4.53475,"http://maps.google.com/maps?q=50.77381,4.534750000000031"
Rotselaar,3110,50.9535967,4.7215113,"http://maps.google.com/maps?q=50.9535967,4.721511299999975"
Wezemaal,3111,50.9482,4.75541,"http://maps.google.com/maps?q=50.9482,4.7554099999999835"
Werchter,3118,50.97278,4.70007,"http://maps.google.com/maps?q=50.97278000000001,4.700069999999982"
Tremelo,3120,50.9956159,4.7159551,"http://maps.google.com/maps?q=50.9956159,4.715955099999974"
